"last_name, first_name",player_id,year,pa,k_percent,bb_percent,xwoba,exit_velocity_avg,whiff_percent,ff_percentage,sl_percentage,ch_percentage,cu_percentage,si_percentage,fc_percentage,fs_percentage,kn_percentage,st_percentage,sv_percentage,fo_percentage,sc_percentage,k_minus_bb_percent,sw_percentage,pitcher_hand,cluster_group,cluster_name
"Quantrill, Cal",615698,2025,513,16.6,6.8,0.366,90.4,20.2,15.0,8.4,0.3,11.8,22.1,21.6,20.9,,,,,,9.8,0.0,R,6,Primary Sinker
"Kochanowicz, Jack",686799,2025,512,14.1,11.3,0.368,92.1,20.8,18.7,14.7,14.0,,47.0,,,,5.5,,,,2.799999999999999,0.0,L,7,Big Arsenal
"Sale, Chris",519242,2025,510,32.4,6.3,0.265,87.2,30.1,41.7,47.3,7.6,,3.5,,,,,,,,26.099999999999998,0.0,R,7,Big Arsenal
"Patrick, Chad",694477,2025,503,25.2,8.0,0.306,89.4,23.5,22.2,5.3,6.7,,23.0,41.2,,,,1.6,,,17.2,0.0,R,4,Cutter/Sinker
"Eovaldi, Nathan",543135,2025,496,26.0,4.2,0.271,88.6,27.7,22.5,1.2,,19.7,5.1,20.1,31.4,,,,,,21.8,0.0,R,7,Big Arsenal
"Holmes, Grant",656550,2025,492,25.0,11.0,0.329,90.1,29.7,32.6,35.7,1.2,15.2,0.1,15.1,,,,,,,14.0,0.0,R,2,4 seam + 12/6
"Povich, Cade",700249,2025,488,24.2,8.8,0.356,91.2,24.2,37.2,1.7,15.0,21.8,12.3,1.7,,,10.3,,,,15.399999999999999,0.0,R,2,4 seam + 12/6
"Senga, Kodai",673540,2025,482,22.6,11.4,0.309,88.9,27.4,31.4,4.1,,1.7,6.0,20.5,,,7.8,,28.5,,11.200000000000001,0.0,R,7,Big Arsenal
"Bubic, Kris",663460,2025,476,24.4,8.2,0.278,87.6,28.8,38.1,13.5,21.1,,6.5,,,,20.8,,,,16.2,0.0,R,8,Changeup Specialist
"Roupp, Landen",694738,2025,476,21.4,9.5,0.319,88.4,25.2,0.7,,17.0,35.7,39.9,6.7,,,,,,,11.899999999999999,0.0,L,6,Primary Sinker
"Horton, Cade",690990,2025,476,20.4,6.9,0.306,89.7,25.8,50.3,0.1,12.8,9.7,5.5,,,,21.6,,,,13.499999999999998,0.0,L,7,Big Arsenal
"Brown, Ben",676962,2025,472,25.6,6.8,0.329,92.4,28.3,55.6,,4.5,39.9,,,,,,,,,18.8,0.0,R,2,4 seam + 12/6
"Woods Richardson, Simeon",680573,2025,471,22.7,9.8,0.304,90.2,24.1,45.6,27.2,4.3,13.0,,,10.0,,,,,,12.899999999999999,0.0,L,2,4 seam + 12/6
"Cannon, Jonathan",686563,2025,466,18.5,8.2,0.354,90.3,21.4,18.1,0.3,21.4,,21.9,23.3,,,15.0,,,,10.3,0.0,L,9,Lefty Changeup Specialist
"Kershaw, Clayton",477132,2025,463,18.1,7.6,0.303,89.7,24.3,34.6,41.4,,17.9,0.5,,5.5,,,,,,10.500000000000002,0.0,R,2,4 seam + 12/6
"Kolek, Stephen",663568,2025,461,16.7,6.7,0.321,91.1,17.7,25.6,16.5,11.6,0.1,24.1,15.2,,,6.9,,,,10.0,0.0,L,7,Big Arsenal
"Gusto, Ryan",687473,2025,453,21.4,7.9,0.33,90.6,23.4,43.7,,9.5,14.9,10.6,11.0,,,10.2,,,,13.499999999999998,0.0,R,2,4 seam + 12/6
"Junk, Janson",676083,2025,447,17.2,2.9,0.326,91.6,18.2,37.7,27.6,7.8,11.7,,,,,15.2,,,,14.299999999999999,0.0,L,2,4 seam + 12/6
"Civale, Aaron",650644,2025,435,20.2,7.6,0.314,88.5,21.8,15.5,7.7,,18.9,16.8,35.0,5.8,,0.3,,,,12.6,0.0,L,4,Cutter/Sinker
"Schwellenbach, Spencer",680885,2025,434,24.9,4.1,0.294,88.8,28.3,35.3,18.1,,11.4,10.0,11.3,13.9,,,,,,20.799999999999997,0.0,R,2,4 seam + 12/6
"Lauer, Eric",641778,2025,426,23.9,6.1,0.306,90.6,23.7,46.5,10.6,8.0,14.4,0.1,20.5,,,,,,,17.799999999999997,0.0,R,2,4 seam + 12/6
"Rogers, Trevor",669432,2025,423,24.3,6.9,0.288,89.7,25.6,40.9,,25.0,,14.9,11.7,,,7.5,,,,17.4,0.0,R,8,Changeup Specialist
"Vasil, Mike",678024,2025,423,19.4,12.3,0.312,89.3,24.0,14.0,,12.2,12.3,39.9,5.5,,,16.1,,,,7.099999999999998,0.0,R,7,Big Arsenal
"Greene, Hunter",668881,2025,420,31.4,6.2,0.273,90.4,31.4,54.2,35.0,,0.1,,,10.8,,,,,,25.2,0.0,L,7,Big Arsenal
